Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boston Celtics*,27.4,57,25,57,25,6.52,-0.15,6.38,118.0,111.5,+6.5,98.5,.243,.480,.600,,.566,12.0,22.1,.197,,.528,11.3,78.5,.180,,TD Garden,766240,18689
2,Cleveland Cavaliers*,25.4,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,+5.5,95.7,.264,.371,.590,,.556,12.3,23.6,.206,,.535,14.4,76.3,.210,,Rocket Mortgage Fieldhouse,777280,18958
3,Philadelphia 76ers*,28.2,54,28,52,30,4.32,0.06,4.37,117.7,113.3,+4.4,96.9,.300,.389,.608,,.563,12.6,21.6,.250,,.541,13.0,77.2,.217,,Wells Fargo Center,839261,20470
4,Memphis Grizzlies*,24.4,51,31,51,31,3.94,-0.34,3.60,115.1,111.2,+3.9,101.1,.259,.372,.570,,.540,11.7,26.5,.190,,.526,13.1,75.9,.206,,FedEx Forum,707836,17264
5,Milwaukee Bucks*,29.8,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,+3.5,100.5,.248,.446,.583,,.555,12.7,25.0,.184,,.520,10.4,77.8,.175,,Fiserv Forum,718786,17531
6,Denver Nuggets*,26.6,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,+3.4,98.1,.259,.361,.601,,.573,13.1,24.8,.194,,.543,12.2,76.4,.201,,Ball Arena,788635,19235
7,New York Knicks*,24.5,47,35,48,34,2.93,0.06,2.99,117.8,114.8,+3.0,97.1,.285,.400,.577,,.541,11.4,28.3,.217,,.536,11.4,77.1,.210,,Madison Square Garden (IV),795110,19393
8,Sacramento Kings*,25.4,48,34,47,35,2.65,-0.35,2.30,119.4,116.8,+2.6,100.3,.284,.423,.608,,.572,12.0,22.7,.225,,.563,12.6,77.2,.203,,Golden 1 Center,715491,17451
9,Phoenix Suns*,28.1,45,37,46,36,2.07,0.01,2.08,115.1,113.0,+2.1,98.2,.241,.362,.570,,.535,12.0,26.6,.191,,.532,12.9,76.0,.234,,Footprint Center,699911,17071
11,Golden State Warriors*,27.3,44,38,45,37,1.80,-0.15,1.66,116.1,114.4,+1.7,101.6,.224,.479,.600,,.571,14.1,24.4,.178,,.540,12.3,76.0,.214,,Chase Center,740624,18064
15,Brooklyn Nets*,28.0,45,37,43,39,0.85,0.18,1.03,115.0,114.1,+0.9,98.3,.260,.397,.598,,.562,12.7,19.6,.208,,.530,12.2,73.7,.212,,Barclays Center,724439,17669
16,Los Angeles Lakers*,27.9,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,+0.6,101.3,.299,.351,.582,,.542,12.3,22.8,.232,,.535,10.9,76.3,.171,,Crypto.com Arena,763168,18614
17,Los Angeles Clippers*,29.7,44,38,42,40,0.50,-0.19,0.31,115.0,114.5,+0.5,98.0,.278,.387,.588,,.551,12.8,22.9,.217,,.543,11.7,76.6,.195,,Crypto.com Arena,720543,17574
18,Atlanta Hawks*,24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,+0.3,100.7,.244,.331,.579,,.541,11.2,25.1,.200,,.552,12.4,75.8,.206,,State Farm Arena,719787,17556
20,Minnesota Timberwolves*,25.8,42,40,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,.271,.381,.592,,.560,13.6,21.5,.205,,.540,13.3,74.3,.225,,Target Center,687510,16769
21,Miami Heat*,27.7,44,38,40,42,-0.32,0.18,-0.13,113.0,113.3,-0.3,96.3,.270,.408,.574,,.530,12.4,22.8,.224,,.561,14.5,77.7,.198,,Kaseya Center,807190,19688
